year,station_id,station_name,station_lat,station_lon,station_address
2017,73,Ruy Díaz de Guzmán,-34.6308122093612,-58.3717059086228,Ruy Díaz de Guzmán y Av. Martín García
2017,104,Federico Lacroze,-34.5875483636412,-58.4550621945096,Av Corrientes 6800 y Federico Lacroze
2017,160,Godoy Cruz y Libertador,-34.5729623675618,-58.42021025469279,Godoy Cruz 3291 entre Av Del Libertador y Seguí
2017,103,Malba,-34.5774146206859,-58.4035331506686,Av Figueroa Alcorta y San Martín de Tours
2017,153,Juan Manuel Blanes,-34.6306928058918,-58.362083360324796,Juan Manuel Blanes 383
2017,138,Hospital Británico,-34.6349489594118,-58.387766665448396,Perdriel y Finochietto Enrique
2017,158,Villarroel,-34.5928392137991,-58.44509865535971,Villarroel y Humboldt
2017,191,Rivadavia y 9 de Julio,-34.608231785988,-58.38091227469621,Rivadavia y Carlos pellegrini
2017,126,Ministerio de Justicia y Seguridad,-34.639971214616295,-58.369430546477396,Regimiento de Patricios y Aráoz de Lamadrid
2017,182,Ravignani y Guatemala,-34.5781909512788,-58.4352336081538,Ravignani 2171 y Guatemala
2017,142,Armenia y Gorriti,-34.590554215665996,-58.4288881956896,Armenia 1525 entre Gorriti y Honduras
2017,133,Nicaragua,-34.581039917576,-58.4343825082215,Nicaragua 5690 entre Bonpland y Fitz Roy
2017,116,Hospital Alemán,-34.592104240900895,-58.4025983842195,Beruti y Ecuador
2017,143,Billinghurst y Valentín Gomez,-34.6046352325181,-58.4157587038097,Billinghurst 455 y Valentín Gomez
2017,147,Constitución I,-34.6274554061156,-58.379104861280204,Av Brasil 1050 y Lima
2017,173,Plaza Cecilia Grierson,-34.6220599419731,-58.3747525088729,Av San Juan 632
2017,117,Humberto Primo,-34.6199404395595,-58.3742180079119,Perú 1016 entre Humberto Primo y Carlos Calvo
2017,127,Santos Dumont y Otero,-34.5922124775116,-58.4529268261496,Santos Dumont 4380 y Otero
2017,137,Azopardo y Chile,-34.6159263966689,-58.3674700069781,Azopardo 700 y Chile
2017,107,Hospital Garrahan,-34.630437687185,-58.3959443595269,Hospital Garrahan: Av Brasil y Pichincha
2017,130,Retiro II,-34.5919408626661,-58.3742850966173,Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador
2017,148,Constitución II,-34.627494076458305,-58.379231885257795,Av Brasil 1060 y Lima
2017,131,Retiro III,-34.5918464928405,-58.3742100283191,Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador
2017,171,Pasteur,-34.6032429525726,-58.3995268655325,Pasteur 501 entre Tucumán y Lavalle
2017,141,Solís y Alsina,-34.611837952645196,-58.3904105537014,Solís 225 y Adolfo Alsina
2017,155,Parque José Evaristo Uriburu,-34.6417279105113,-58.4125592981411,Pque. José E. Uriburu - Almafuerte 300
2017,156,Plaza Alemania,-34.5778491087657,-58.407965559468,Plaza Alemania: Del Libertador Av y Cavia
2017,162,Larrea y Bartolomé Mitre,-34.609239096778396,-58.40194516985579,Larrea entre Bartolomé Mitre y Av Rivadavia
2017,170,San Luis y Ecuador,-34.5997327041382,-58.4059662231588,San Luis 2862 entre Ecuador y Boulogne Sur Mer
2017,102,Roseti,-34.5864398918839,-58.4459867498295,Roseti 50 y Av Dorrego
2017,163,Once II,-34.6093554863347,-58.4066167991811,Bartolomé Mitre y Av Pueyrredón
2017,157,Senillosa y Zuviría,-34.6283092127138,-58.4279521831874,Senillosa 989 y Zuviría
2017,165,Plaza Monseñor Miguel de Andrea,-34.597763577063304,-58.40785166335999,Plaza Monseñor Miguel de Andrea (Anchorena 900)
2017,168,Estados Unidos,-34.618619956816694,-58.3812826082139,Estados Unidos y Lima
2017,169,Facultad de Psicología,-34.6120200280467,-58.4119247639604,Hipólito Yrigoyen y 24 de Noviembre
2017,174,Ministerio de Educación,-34.5972614724898,-58.391548775098705,Marcelo T De Alvear 1698 y Rodríguez Peña
2017,177,Planetario,-34.5680738913864,-58.4121585445467,"Av. Roldan, Belisario y Av. Sarmiento"
2017,194,Perón y Francisco Acuña de Figueroa,-34.605952483313395,-58.4225720421175,"Perón, Juan Domingo Tte 3989 entre Francisco Acuña de Figueroa y Medrano"
2017,189,Posadas,-34.588474694640695,-58.3855860204811,Posadas 1350 entre Montevideo y Rodríguez Peña
2017,187,Parque Rivadavia,-34.617666753946196,-58.43179118261829,Chaco 250
2017,180,Castro y México,-34.619802649015,-58.4204709626304,Castro 680 entre México y Agrelo
2017,193,Arenales y Agüero,-34.591110880844695,-58.40597385351211,Arenales 2882 y Aguero
2017,192,Talcahuano,-34.5977988046358,-58.3856151032862,Talcahuano 1034 y Marcelo T de Alvear
2017,188,Aranguren,-34.6107962769337,-58.433506016027,Aranguren 188 entre Portugal y Eduardo Acevedo
2017,186,Catamarca,-34.6125512856829,-58.40714252984551,Adolfo Alsina 2910 y Catamarca
2017,178,José Marmol,-34.623457406189296,-58.42486660380939,José Marmol 803 y Estados Unidos
2017,190,Juncal,-34.5850777556995,-58.41122742233949,Juncal 3320 y Jerónimo Salguero
2017,195,Plaza Garay,-34.6270491370727,-58.387453831513604,Av Juan de Garay y Luis Sáenz Peña
2017,185,Av Pavón y 33 Orientales,-34.6313699718195,-58.4217825750943,"33 Orientales 1439, entre Av. Pavón y Av. Garay"
2017,184,Pedro Echague,-34.630678908608,-58.3913186324946,Pedro Echague 1878 entre Combate de los Pozos y Av Entre Ríos
2017,199,Estados Unidos y Boedo,-34.6224389438033,-58.415881554842905,Estados Unidos 3568 entre Boedo y Maza
2017,197,Quintino Bocayuva,-34.6135962625509,-58.4234808584974,Quintino Bocayuva y Don Bosco
2018,179,La Boca,-34.6391140733123,-58.3603993063349,Don Pedro de Mendoza 1819
2018,200,Austria y French,-34.5881914580956,-58.4043610826701,Austria 2080 entre French y Juncal
2018,NA,Fitz Roy y Gorriti,NA,NA,NA
2018,39,Congreso II,-34.6089915917558,-58.3876529230089,Av Rivadavia y Paraná
2018,125,Oro,-34.5834801072487,-58.4282171673392,Fray Justo Santamaria de Oro y Guatemala
2018,196,Hospital Argerich,-34.6277763431537,-58.3660190488238,Pi y Margall 750 entre Necochea y Alte. Brown
2018,198,Hospital Sardá,-34.6343800087707,-58.4041380643401,Cátulo Castillo 2896 y Dean Funes
2019,5BAEcobici,005 - Plaza Italia,-34.5805497,-58.4209542,Av. Sarmiento 2601
2019,6BAEcobici,006 - Parque Lezama,-34.628526,-58.369758,"Avenida Martin Garcia, 295"
2019,73BAEcobici,073 - Ruy Díaz de Guzmán,-34.6306814,-58.3718235,Avenida Martin Garcia y Ruy Díaz de Guzmán
2019,59BAEcobici,018 - Independencia,-34.617654,-58.380565,Idependencia y Bernardo de Irigoyen
2019,9BAEcobici,009 - Parque Las Heras,-34.585443,-58.407741,"2300 Diaz, Cnel. Av. & French"
2019,91BAEcobici,091 - Pasco,-34.6174482,-58.397602,708 Pasco & Chile
2019,10BAEcobici,KP1808000368,-34.6162819,-58.3657444,"1600 Moreau De Justo, Alicia Av."
2019,30BAEcobici,030 - Peña,-34.5908211,-58.3973698,Peña & Azcuenaga
2019,14BAEcobici,014 - Pacifico,-34.577424,-58.426387,"Santa Fe Av. & Bullrich, Int. Av."
2019,21BAEcobici,021 - Parque Patricios,-34.640111,-58.406432,Iguazu & Uspallata
2019,25BAEcobici,025 - Plaza Guemes,-34.5894269,-58.4161178,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General"
2019,29BAEcobici,029 - Parque Centenario,-34.6079414,-58.4335573,Av. Patricias Argentinas & Estivao
2019,28BAEcobici,028 - Plaza Boedo,-34.6231273,-58.4127377,"3310 Calvo, Carlos & Sanchez De Loria"
2019,45BAEcobici,045 - Uruguay,-34.6018635,-58.3866934,561 Uruguay & Av. Tucuman
2019,99BAEcobici,099 - Malabia,-34.5960961,-58.435408,780 Malabia & Loyola
2019,31BAEcobici,031 - Padilla,-34.6033431,-58.43952100000001,PADILLA  271
2019,175BAEcobici,147 - Constitución,-34.626851,-58.380707,Avenida Juan de Garay 1050
